Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
81,688,812,277,489,64,52,88,161,17,120,60,302,93,52,194,93
428,44,289,158,151,43,6,51,235,46,110,264,45,14,149,34,36
365,285,12,206,23,18,36,1,7,15,9,7,20,0,2,3,2
115,126,186,7,7,9,33,0,8,8,0,8,3,0,2,0,0
37,80,7,1,28,3,3,5,27,2,107,2,13,1,3,85,94
13,30,10,5,1,0,0,4,5,0,2,1,3,2,0,0,0
13,0,20,38,1,0,5,0,0,0,0,0,2,0,0,1,0
27,27,1,0,1,0,0,6,3,0,0,1,2,0,1,0,0
12,77,0,0,7,0,0,0,3,0,15,6,1,0,7,6,10
0,20,7,7,0,0,0,0,1,2,0,1,0,0,0,0,0
1,37,0,0,25,0,0,0,34,0,3,0,0,0,4,3,2
8,61,1,6,2,1,1,1,6,3,2,22,0,0,1,1,1
42,30,15,3,35,5,0,12,5,0,2,1,10,93,2,10,4
11,3,0,1,2,1,0,0,0,0,0,0,42,7,0,8,6
14,66,0,2,16,0,0,2,37,0,14,4,0,1,14,10,1
30,3,0,0,44,0,0,0,1,0,0,0,2,2,3,14,16
30,9,0,2,54,0,0,0,2,0,6,0,1,3,0,17,11
