Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.6,0,0,0,0,0,0,0.6,0,0,0,0,0,0.0,0,0
0,-0.15625,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.3,0,0,-0.018750000000000003,0.3,0,0,0,0,0,0,0,0,0,0,0
0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.26666666666666666,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.15555555555555559,0.19047619047619047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.1640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3666666666666667
0.0,0.031746031746031744,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
0,0,0,0,0,0,0,0,-0.128125,0,0.074375,0,0,0,0.0,0,0
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.10833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.0020833333333333307,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.15892857142857142,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
