Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
0.0,0.0986607142857143,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,-0.0099702380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.17777777777777773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15607954545454547,-0.014496415770609325,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
0,0.0875,0,0,0,0,0,0,0.6,0,0,0,0,0,0.0,0,0
0,0.0732962536760005,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
0.033388888888888885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.08069567627494456,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.06180555555555556,0.1256181607744108,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
0,0.16666666666666666,0,0,-0.012500000000000002,0.20727272727272728,0,0,0,0,0,0,0,0,0,0.0,0
0,0.05726429939792009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.20833333333333334,0,0,-0.07037037037037036,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.03208705357142856,-0.26666666666666666,0,0,0,0,0,0,0.0,0,0,0,0,0,0.04365079365079365,0,0
0,-0.01644736842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.033760683760683766,0.12295238095238094,0.017162698412698452,0.06642857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.021399176954732507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,-0.0030505952380952364,0,0,0,0,0,0.10372023809523809,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07291666666666666,0.07582417582417582,0,0,0,0.24166666666666667,0,0,0,0,0,0,0,0,0.0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.11006944444444444,0,0,0,0,0,0,0,0,0,0,0,0,-0.024999999999999994,0,0.3666666666666667
-0.049999999999999996,0.040922619047619034,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
0,-0.0125,0,0,0,0,0,0,-0.128125,0,0.06197916666666667,0,0,0,0.0,0,0
0,0.13554563492063496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.036111111111111115,0,0.05833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.04212962962962963,-0.03442460317460318,0,0,0,0,0,0,0,0,0.08076923076923076,0,0,0,0,0,-0.08
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.13591470258136923,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0
-0.03571428571428572,0.08840208564045772,0,0,0,0,0,0,0,0,-0.016666666666666666,-0.16,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.041769293924466336,0.003645833333333331,0,0,0.14285714285714288,0,0,0,0,0,0.0,0,0,0,0.0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.24258241758241758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02304894179894179,0.08571428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,0.18201754385964913,0,0,0,0,0,0,0,0,0,0.08333333333333333,0,0,0,0,0
0.06666666666666667,0.12222222222222223,0,0,0,0,0,0,0,0,0,0.2333333333333333,0,0,0,0,0
0.0,-0.15000000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.10724035303776683,0,0,0.05892857142857143,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08333333333333333,0.06222222222222222,0,0,0,0,0,0,0,0,0.03333333333333333,0,0,0,-0.12291666666666666,0,0
0,-0.04999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10476190476190475,0.36979166666666663,0,0,0,0,0,0,0,0,0.15104166666666666,0,0,0,0,0,0
0.14583333333333334,-0.0026249893896952807,0,0,0,0,0,0,0,0,0.025520833333333336,0,0,0,0,0.21363636363636365,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.019263392857142857,0,0,0,0,0,0.18
0,-0.035526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1375,0
0,0.1409090909090909,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.5,0
-0.07777777777777779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20952380952380953,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2833333333333333,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
0,0.12224431818181816,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.1676111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.048649267399267386,0,0,0.13233082706766916,0,0,0,0,0,0,0,0,0,0.2857142857142857,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10416666666666667,0.09209401709401707,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0
-0.05,0.049999999999999996,0,0,0.20324074074074075,0,0,0,-0.05,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.08263389978815511,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,0.07729166666666668,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0
0.0,0.04618403648008911,0,0,0,0,0,0,-0.30000000000000004,0,0,0,0,0,0,0,0.0
0.0,0.24043478260869566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15625
0.0537797619047619,0.06979166666666665,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.05540200138026225,0,0,0.0,0,0,0,0.1013888888888889,0,0,0.3,0,0,0,0,0
0.016034878863826235,0.10733333333333331,0,0,0.14007936507936505,0,0,0,0,0,0,0,0,0,0.0,0.0,0
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.09982363315696649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21111111111111114
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
