Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
517,2264,1958,691,1773,275,136,186,354,122,252,200,973,302,214,528,290
1178,307,754,371,442,164,18,104,536,594,268,884,124,34,411,90,90
1080,887,94,651,120,113,80,2,14,82,18,28,50,0,4,8,6
373,427,537,28,24,47,74,0,18,38,0,24,12,0,4,0,0
334,279,18,4,227,20,8,10,68,18,256,6,78,20,36,270,236
114,168,46,22,10,6,0,8,12,6,4,42,10,10,2,0,0
54,2,44,84,12,0,14,0,0,0,0,0,4,0,0,2,0
66,58,4,0,4,0,0,18,6,0,0,2,4,0,2,0,0
31,187,0,0,16,2,0,0,21,0,40,14,2,0,16,14,20
18,440,32,36,16,0,0,0,2,64,8,46,0,0,2,0,6
4,110,4,0,72,0,0,0,72,2,20,0,0,0,8,6,4
24,320,6,16,6,2,4,2,16,54,4,98,0,0,6,2,2
262,105,32,8,226,44,0,26,16,4,4,4,60,312,6,38,14
56,10,2,2,24,4,0,0,0,0,0,0,132,36,0,16,12
66,213,0,4,72,0,0,4,74,6,30,8,0,2,74,26,2
96,26,0,0,172,0,0,0,6,0,2,0,8,8,10,70,74
96,28,0,4,156,2,0,0,4,0,12,2,2,10,0,54,36
