Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
306,10296,4444,1269,5578,1567,577,648,361,169,216,180,3131,349,334,602,364
10049,197,1277,657,465,287,14,161,1387,1874,941,2066,132,36,1453,89,106
3706,1143,55,1313,116,69,76,2,9,55,19,15,62,0,3,5,4
1002,617,1236,19,53,37,110,0,49,43,0,35,9,1,2,0,3
5163,397,72,46,120,12,15,13,105,44,625,17,155,41,47,407,342
1586,320,58,28,14,7,0,4,12,20,7,21,14,17,2,0,2
552,9,57,105,18,0,7,0,0,0,0,0,2,0,0,1,0
589,132,2,0,7,0,0,10,13,0,0,2,3,0,1,4,0
235,1234,7,42,72,8,0,8,11,0,68,15,6,0,38,25,14
118,1848,33,45,45,17,0,0,1,33,19,54,0,0,3,0,3
108,872,12,0,575,0,0,0,94,18,10,8,0,1,22,13,7
124,1901,3,30,19,2,2,2,13,62,11,51,1,0,14,4,1
2926,122,52,6,226,32,0,13,12,2,3,5,33,584,8,26,24
262,31,1,1,40,16,0,0,0,0,2,0,519,20,3,25,29
272,1392,1,2,64,1,0,2,65,4,36,16,6,2,40,35,1
526,71,1,0,391,1,0,5,18,0,10,3,19,24,28,34,109
297,83,3,5,311,4,0,0,7,0,14,3,13,33,0,103,18
