Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.21428571428571427,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0.03984375,0,0,0,0
0.2986111111111111,0,0,0,0,0,0,0,0,0,0,0,-0.02380952380952381,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.08214285714285714,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.06282589285714286,0,0,0,0
0.09999999999999999,0,0,0,0,0,0,0,0,0,0,0,0.2281954887218045,-0.025,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.22571428571428573,0,0,0,-0.09791666666666667,0,0,0,0,0,0,0,0.11285714285714286,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.14761904761904762,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0.13484933035714286,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05922619047619048,0,0,0,0,0,0,0,0,0,0,0,0.0,0.34285714285714286,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4395833333333334,0,0,0,0,0,0,0,0,0,0,0,0.016666666666666663,0,0,0,0
0.85,0,0,0,0,0,0,0,0,0,0,0,0.16603054683411828,0.85,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0.05437500000000001,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.030000000000000006,0.0,0,0,0,0,0,0,0,0,0.0,0,0.04720695970695971,0,0,-0.18958333333333335,0
0.17333333333333334,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.09999999999999992,0,0,0,0,0,0,0,0,0,0,0,-0.0026331018518518517,0,0,-0.055263157894736833,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020192307692307693,0,0.1,0,0,0,0,0,0,0,0,0,0.1708333333333333,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.31875000000000003,0,0,0,0,0,0,0,0,0,0,0,0.11292613636363638,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-0.12666666666666665,0,0,0,0
