Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.022727272727272728,0.03409961685823755,0,0,0.0919642857142857,0,0,0,0,0,0,0,0,0.0,0,0,0
0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.06503267973856207,0,0,-0.021111111111111115,0,0,0,-0.5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.10143498476831808,0,0,0.12499999999999999,0,0,0,0.0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.060274041434755725,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0.03918219461697721,0,0,0.0,0,0,0,0.0021929824561403577,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.048684519614752175,0.06864252645502646,0,0,0.10307247899159663,0,0,0,0.4166666666666667,0,0,0,0,0,0,0,0
0,0.06762851213282249,0,0,0.0,0,0,0,0.15964506172839507,0,0,-0.018750000000000003,0,0,0,0,0
0.3333333333333333,-0.006620370370370363,0,0,-0.09481481481481481,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.023255591630591637,0,0,0.027083333333333334,0,0,0,0.0,0,0,0,0,0,0.03611111111111111,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.04940677966101695,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.18333333333333335,0,0,0.09891774891774893,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.027525252525252532,0,0,0,0,0,0,-0.04583333333333333,0,0,0,0,0,0,0,-0.175
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.16666666666666666,0,0,0,0.06212065233616958,0,0,0,0,0,0,0,0,0,0,0,0
0,0.1220531783031783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.05710978835978836,0,0,0.07663909313725492,0,0,0,0.24285714285714285,0,0,0,0,0,0.0,0,0
0,0.017609364319890634,0,0,0,0,0,0,-0.06250000000000001,0,0.0,0,0,0,0.029999999999999992,0,0
0.0,0.042013888888888885,0,0,0.051289682539682545,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666666,-0.008238095238095235,0,0,0.19999999999999998,0,0,0,0.07361111111111111,0,0,0,0,0,0,0,0
0.0,0.06858382936507937,0,0,0,0,0,0,-0.017101648351648353,0,0,0,0,0,0.0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.1,0,0,0.09423076923076922,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.06274801587301589,0,0,0,0.015277777777777779,0,0,0,0,0,0,-0.00625,0.0
0.10222222222222221,0.03241081656030109,-0.059375,0,-0.02975954270597128,0,0,0,0.020833333333333332,0,0,0,0,0,0,-0.15555555555555559,0
0.07575757575757576,0.06369047619047619,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.11085858585858585,0,0,-0.007031249999999999,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.03333333333333333,0,0,0.029530423280423282,0,0,0,0,0,0,0,0,0,0.3591666666666667,0,0
0,0.0006740669240669222,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
0,0.09375,0,0,0.013634169884169883,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
0,0,0,0,0.05395124716553289,0,0,0,0,0,0.0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.07347769567597152,0,0,0,0,0,-0.1777777777777778,0,0,0,0,0,0
-0.1,-0.07962962962962963,0,0,-0.002006172839506171,0,0,0,0,0,0,0,0,0,0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0.050396825396825405,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0646103896103896,0,0,0.07529761904761904,0,0,0,0.0,0,0.2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.12100245411865128,0.0,0,0.25,0,0,0,0,0.08333333333333333,0.08333333333333333,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.12703296703296704,0,0,0.0704355709225839,0,0,0,0,0,0.0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
