Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0,0,0,-0.09999999999999999
0,-0.2833333333333333,0,0,-0.059027777777777776,-0.15555555555555559,0,0,-0.14166666666666666,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.08888888888888886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.2857142857142857
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,-0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0017857142857142863,0,0,0,0,0,0,0.28833333333333333,0,0,0,0,0,0,0,0,0
-0.1111111111111111,0,0,0,0.07232142857142858,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03641636141636141,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33055555555555555,0.09583333333333333,0,0,0,0,0,0,0,0,0,0,-0.55,-0.5,0,-0.55,0
0.03101851851851852,-0.003703703703703695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07993197278911565,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.038375350140056025,0,0,0.08779761904761904
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03583333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10909090909090909,0,0,0,0.1288888888888889,0,0,0,0,0,0,0,0,0,0,0,-0.19687500000000002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02588141025641024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.034999999999999996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.09111111111111111,0,0,0,0,0,0,0,0.5,0,0,0,0
0.10360576923076925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.001035714285714286,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0.0,0,0,0,0.021428571428571425,0,0,0,0,0,0,0,0,0,0,0,0.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0.01805555555555556,0,0,0,0.0,0,0.275,0,0,0,0,0,0.0
0.3111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1971190476190476,0.1,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0
0.01567885487528345,-0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017857142857142874,0
0,0.5,0,0,0,0,0,0,0.06428571428571428,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0
0.0,0,0,0,0,0,0,0,0,0,-0.14464285714285713,0,0,0,0,0,0
0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.17111111111111107,0,0,0,0,0,0,0,0,0,0,0,0,-0.10757575757575756,0,-0.10757575757575756
0.10360119047619046,-0.18194444444444446,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0
0.39999999999999997,0.2551515151515152,0,0,0.09074074074074075,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08222789115646258,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.1
0.14196626984126984,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10564213564213562,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16636930529787675,0,0,0,0.07407580266955269,0,0,0,0,0,0,0,0,0,0,0.0,0
0.17278911564625848,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,0,0.0265625
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.045454545454545456,0,0,0,0,0,0,0,0,0,-0.05,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0546875,0,0,0,-0.05555555555555555,0,0,0,0,0,0,0,0,0,0,-0.049999999999999996,0
-0.08333333333333333,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,0,0,0,0,0,0.25,0,0,0,0,0,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22,0,0,0,0.025649434156378596,0,0,0,0,0,0,0,0,0,0,-0.3932291666666667,0
0.03828125,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.05669642857142854,0.0,0
-0.05823863636363637,-0.08407407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1340909090909091,0
0,0,0,0,0.10357905982905982,0,0,0,0,0,0,0,0,0.03055555555555555,0,0.07500000000000001,0.06596560846560846
-0.01363636363636364,0,0,0,0.11888888888888889,0,0,0,0,0,0,0,0,0,-0.004464285714285714,0,0
-0.0472470238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666669,0,0,0,0,0,0,0,0.20555555555555557,0,0,0,0,0,0,0,0
0.07714285714285714,0,0,0,-0.000871647509578546,0,0,0,0,0,0,0,0,0,0,0,0
-0.16736111111111115,0,0,0,-0.19131944444444443,0,0,0,0,0,0,0,-0.010879629629629628,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
0.17380952380952377,0,0,0,0,0,0,0,0,0,0,0,0.24732142857142858,0.07142857142857144,0,0,0.08333333333333333
0.0763888888888889,-0.3145833333333333,0,0,0.2902777777777778,0,0,0,0,0,0,0,0,0,0,0.17083333333333334,0
0.36309523809523814,0,0,0,0.013020833333333334,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10303030303030303,0,0,0,0.011111111111111118,0,0,0,0,0,0,0,0,0,0,0,0
0.20833333333333334,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05688775510204082
0.35,0,0,0,0,0,0,0,0,0,0,0,-0.15,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.023295454545454543,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0.35
0,0,0,0,-0.020370370370370375,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.25,0,0.475,0,0,0,0,0,0,0,0,0,0.39375000000000004,0,0
0.057654845154845154,0,0,0,0.1342850776674306,0,0,0,0,0,0,0,0,0,0,0,0
0.07654320987654321,0.6,0,0,0.0,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0.0
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.010549475166410645,0,0,0,0,0,0,0,0,0,0,0,0.7
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0.13463541666666667,0,0,0,0.12662078373015873,0,0,0,0,0,0,0,0,0,0,0.4208333333333333,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.19999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019547371031746034,0,0,0,0.13020833333333334,0,0,0,0,0,0,0,0.7,0,0,0,0.065625
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0625,0.0,0,0,0.13584986772486773,0,0,0,0,0,0,0,0,0,0,0,-0.0035714285714285726
0.04411764705882353,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15787037037037036,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.0,0,0
0.04383403361344537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1447358630952381,0
0.055251322751322766,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0.125,0
0.0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.038333333333333344,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06416666666666666
0,0,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,-0.051851851851851864
0,0,0,0,0.11578042328042328,0,0,0,0,0,0,0,0,0,0,0.5428571428571429,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.1454861111111111,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-0.24999999999999994,0,0,0,-0.125
0,0,0,0,0.048412698412698414,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02041666666666667,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.039999999999999994
0,0,0,0,0.0896945646945647,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08957142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.13923611111111112,0,0,0.18416666666666667,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,0
0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
0.09666666666666666,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05000000000000001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
-0.03363095238095238,-0.013452380952380952,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
