Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
0,-0.2777777777777778,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3125,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,-0.05833333333333333,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.12857142857142856
0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.0,-0.15555555555555559
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06458333333333334,-0.0369047619047619,0,0,0.15625,0,0,0,0.0625,0,0,0,0,0,0,0,0.096875
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,-0.06666666666666667
0,-0.2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0
0.08125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.07875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.5,0,0,0,0.08333333333333333,0,0,0,0,0,0,0,0.125
-0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5
0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.2208472222222222,0,0,0,0,0,0,0,0,0.027611111111111107
0,0,0,0,0,0,0,-0.15555555555555559,0,0,0,0,0,0,0,0.0,0
0.16666666666666669,0.12630208333333331,0,0,0.2288723544973545,0,0,0,0,0,0.08447971781305115,0,0,0,0,0,-0.12855516975308642
0,0,0,0,0.0,0,0,0,0,0,-0.15555555555555559,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.0,0,-0.025000000000000005,0,0,0,-0.01625
