Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.05,0.05555555555555555,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.06830357142857144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.02873456790123457,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.010416666666666673,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.049999999999999996,0.04675191064079954,0,0,0,0,0,0,0,0,0,0.0,-0.125,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.17857142857142855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.008944444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
0,0.05942259223509223,0,0,0,0,0,0,0.0,0,0,-0.734375,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0.07275714736652236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.057236842105263155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.11875838744588744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.020194444444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.01530483405483405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06284722222222222,0.10625,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
0,0.16629464285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.05117677250824574,0,0,-0.04714506172839507,0,0,0,0,0,-0.1875,0,0,0,0,0,0.35000000000000003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.026386591478696732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.06858734772978958,0,0,0,0,0,0,0.09523809523809523,0,-0.08796296296296297,0.0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.04545454545454545,0,0.19528571428571434,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.18139247134038802,0,0,0,0,0,0,0.0,0,0,-0.023478835978835978,0,0,0,0,0
0.0,0.020007631257631255,0,0,0,0,1.0,0,0,0,0,0.08,0,0,0,0,0
0,0.16561838624338623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,-0.009017857142857143,0,0,0,0,0,0,0,0,0,0.22708333333333333,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.08281858766233767,0,0,0,0,0,0,0,0,0,0.37857142857142856,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.11959183673469387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.025951086956521742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.0909779426922284,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
0,-0.055027777777777766,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
0,-0.04795454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.03232754876411593,0,0,0,0,0,0,0.0,0,0.2857142857142857,0.10499338624338625,0,0,0,0,0
0,0.02675241425241425,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
0,0.00874594155844156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07619047619047618,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.12150974025974026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.046875,0.04518494897959184,0,0,0,0,0,0,0,0,0,0.018750000000000003,0,0,0,0,0
0.07,0.07346244033744033,0,0,0,0,0,0,0,0,0,0.2545454545454545,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.03365800865800866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.033093750000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.014030612244897961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.00662698412698412,0,0.1625,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.027542701863354033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.1858498950544405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.02634469254150106,0,0,0,0,0,0,0,0,0,0.04895833333333335,0,0,0.08107638888888889,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.02717764060356653,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
0,-0.1755952380952381,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.275,0.09790752913381263,0,0,0,0,0,0.5,0,0,0,0.125,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.08805158730158731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.002015174897119341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.23589015151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.09574270037233,0.2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
0,0.08973834325396825,0,0,0,0,0,0,0.20833333333333334,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.010152202295059452,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.02407407407407407,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
0,0.14791666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.06557463369963369,0,0,0,0,0,0,0,0,0,0.0425925925925926,0,0,0,0,0
0,-0.5333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.02134176587301587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005555555555555556,-0.12388888888888888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.06934304434304434,0,0,0,0,0,0,0,-0.3,0,-0.10416666666666667,0,0,0.14375,0.06666666666666667,0
-0.16666666666666666,-0.06857142857142857,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0
0,0.33166666666666667,0,0,0,0,0,0,0,0.0,0,0.8,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025487012987012992,0.08659655561829475,0,0,0.01405041717541717,0.14285714285714285,0,0,0,0.22767857142857142,0,0.11488095238095236,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06266690009337068,-0.04649122807017543,-0.6999999999999998,0,0,0,0.175,0,0,0.35,0,0.39999999999999997,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01562962962962963,0.7,0.7,0,0,0,0,0,0.0,0,0.061111111111111116,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.048863636363636366,-0.12357954545454546,0,0,0.6,0,0,0,0,0,0,-0.05078763828763829,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
