Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
0.031563852813852815,0.08680059523809523,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07566964285714285,0.19172771672771677,0.05958049886621315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0744047619047619,0.25222222222222224,0.07090909090909091,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.03137210012210012,0.048232323232323224,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.041666666666666664,0.03240740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.15260416666666665,0.12,0.12059523809523809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04191919191919192,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07162698412698411,0.16020408163265307,-0.06654040404040405,0.05833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,-0.04517045454545454,-0.009206349206349208,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13240740740740742,0.23765190166975883,0.12240017361111113,0,0,0,0,0,0.1382420634920635,0,0,0,0,0,0,0,0
0.26785714285714285,0.0007936507936507908,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.046825396825396826,-0.016666666666666663,0.03342092092092093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2849603174603175,0.056666666666666664,0.18396915584415588,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06093718338399188,0.15107007575757578,0.15097155561829473,0,0.059722222222222204,0,0,0,0.038708513708513706,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09506172839506173,0.0,0.10714285714285714,0,0,0.1408030303030303,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010317460317460305,0.16643272425249167,0.0805448717948718,0,0,0,0,0,0,0,0,0.09954365079365081,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09581605643352631,0,0.05742018398268398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13857142857142857,0.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36666666666666664,0.0,0.16666666666666666,0,0,0.36666666666666664,0,0,0,0,0,0,0,0,0,0,0
0.10185185185185186,0.5,0.11377551020408162,0,0,0.18835978835978837,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.049202847805788985,0,0.37266666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12820896939317994,0.1916655087025457,0.04198232323232323,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
-0.025641025641025644,0.1875,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2129166666666667,0.0,0.3904761904761905,0.0,0,0,0,0,0,0,0,0,0.6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.08333333333333334,-0.14583333333333331,0.07634199134199135,0,0,0.11212121212121212,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0778759820426487,-0.07592592592592594,0.04055555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26961466165413533,0.16901234567901235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02466307277628032,0.09038961038961037,0.03736263736263736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.1,-0.13333333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13333333333333333,0.11805555555555555,0.19037698412698412,0,0.0,0.0,0,0,0,0,0,0,-0.5,0.0,0,0,0
0,0.0730055658627087,0.06378684807256237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15714285714285714,-0.05,0.062369303150553175,0,0,0,0.06776556776556776,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.23514649041434757,0,0,0,0.1972222222222222,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08319444444444445,0.12321428571428572,0.025456773618538323,0,0,0.4,0.0685294117647059,0,0,0,0,0,0,0,0,0,0
-0.002576530612244895,0.016702741702741695,0.0574516887016887,0,0,0,0,0,0,0,0,0.21814814814814817,0,0,0,0,0
0.19229166666666667,-0.09375,0.21055672268907563,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.21991341991341992,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
0.07222222222222223,0,0.22083333333333335,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
0.125,0,0.046098742527313954,0,0,0,0.25245310245310243,0,0,0,0,0,0,0,0,0,0
0.024278499278499285,0.2112611111111111,0.07248376623376625,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0021481481481481434,0.0,0.18269230769230768,0.0,0,0,0.03189709595959595,0,0,0,0,0,0,0,0,0,0
0.08974654377880185,0.11249999999999999,0.08761904761904762,-0.22142857142857145,0,0,0.0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016666666666666663,0,0.09019097222222222,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
0,0,0.04477513227513227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13095238095238096,0.2253968253968254,0.0665976535541753,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.05129072681704261,-0.00941666666666668,-0.04880952380952377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0010491071428571474,0,-0.02322916666666667,0.0,0.1679093894611136,0,0,0,0,0,0,0,0,0,0,0,0
0.11496212121212121,0.17226352813852813,0.17232050264550264,0,0,0,0,0,0.20600000000000004,0.40535714285714286,0,0,0,0,0,0,0
