Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
17,186,211,83,121,14,0,34,54,0,57,11,78,22,8,29,12
116,16,43,44,48,22,0,21,85,0,50,64,13,3,30,6,11
81,46,5,53,2,8,0,1,5,0,5,0,6,0,1,0,0
33,29,35,0,0,2,0,0,5,0,0,3,0,0,0,0,0
5,22,0,0,11,0,0,5,2,0,50,0,5,0,0,5,28
12,22,5,2,0,0,0,4,1,0,2,1,3,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0
4,33,0,0,0,0,0,0,1,0,13,4,0,0,3,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,1,0,19,0,0,0,10,0,0,0,0,0,1,0,0
0,16,0,3,0,0,0,0,2,0,1,5,0,0,0,0,1
9,2,9,2,5,3,0,9,0,0,1,1,2,18,0,3,0
1,0,1,0,0,0,0,0,0,0,0,0,15,1,0,7,0
2,10,0,1,1,0,0,0,4,0,1,0,0,0,5,0,0
3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0
1,3,0,2,18,0,0,0,0,0,5,0,1,0,0,4,0
