Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
40,1207,407,67,336,796,0,0,1,96,2,24,450,67,50,27,20
1165,25,66,41,46,69,0,0,2,667,0,258,1,3,131,2,4
397,74,8,110,8,20,0,0,0,8,0,1,5,0,0,0,1
59,61,90,3,2,13,0,0,1,1,0,4,0,0,0,0,1
292,38,7,0,19,4,0,0,0,2,0,0,19,10,21,75,22
765,84,19,12,2,5,0,0,0,3,0,15,6,10,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,653,4,0,4,3,0,0,0,9,0,14,0,0,1,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,235,0,1,0,1,0,0,1,22,0,1,0,0,0,0,0
433,4,2,0,41,22,0,0,0,2,0,0,3,84,0,3,3
56,0,0,0,9,12,0,0,0,0,0,0,77,4,0,1,0
35,123,0,0,20,0,0,0,0,1,0,0,0,0,1,4,0
19,8,0,0,66,0,0,0,0,0,0,0,2,1,5,1,13
13,5,2,0,27,2,0,0,0,0,0,1,1,1,0,12,0
