Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
0,-0.20833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.35625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
0.046875,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
0.09453125000000001,0.047265625000000006,0,0,0.0,0,0,0,0,0,0,0,-0.125,0,0,0,0
0,0.2333333333333333,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,0.0,0,0,0,0,0,0,0.21473214285714284,0,0,0,0.0,0,0,0,0
0,0.5625,0,0,0,0,0,0,0.5,0,0,0,0,0,0.0,0,0
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0
0.2325,0.0,0,0,0,0,0,0,0,0,0,0,0.175,0.018571428571428572,0,0,0
0.4166666666666667,0.0,0,0,-0.04583333333333334,0,0,0,0,0,0,0,0.0,0,0.0,0,0
0.0,0.0,0,0,0.1375,0,0,0,0,0,0.0,0,0,0.25,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,-0.3125,-0.17604166666666665,0,0,0
0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13482142857142856,0,0,0,0,0,0,0.4008928571428571,0,0,0,0,0.0,0,0,0,0
0.5892857142857143,0,0,0,0,0,0,0.17857142857142858,0,0,0,0,0,0.20833333333333334,0,0,0
0.04999999999999999,0,0,0,0,0,0,0.0,0,0,0,0,0.04999999999999999,0,0,0,0
0.0,0,0,0,0.06874999999999999,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.08166666666666665,0,0,0,0,0,0,0,0,0,0,0,0.08166666666666665,0,0,0
0.0,0,0,0,0.0,0,0,0.024999999999999994,0,0,0,0,0,0.0,0,0.0,0
0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.5,0,-0.21666666666666667,0
0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-0.075,0,0.0,0
0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
