episode,title,plot
1.1,Pilot,"Lorelai Gilmore has worked her way up from maid at an inn to running the place, all while being a smart and funny single mom to a smart and funny teenage girl, also named Lorelai, or Rory, for short. Times are happy when 16-year-old Rory gets accepted at Chilton, a private school. They become less happy when Lorelai gets the bill, which means she must borrow money from her rich parents. Worse, her mother resorts to blackmail: in exchange for the loan, Lorelai and Rory must come to dinner once a week. Meanwhile, Rory meets a gorgeous boy at school. He's from Chicago, and he actually got her reference to ""Rosemary's Baby"". He's also impressed that she loves to read. Now Rory suddenly wants to stay where she is. Will she let a perfectly good plaid skirt go to waste?"
1.2,The Lorelais' First Day at Chilton,"Rory's first day at Chilton, where she has a confrontation with Paris. Emily tries to install an internet connection at Lorelai's house without asking first."
1.3,Kill Me Now,"Rory goes golfing with her grandfather and surprisingly has a good time. At Lorelai's inn, a wedding is stressing everyone out."
1.4,The Deer-Hunters,"Rory is still playing ""catch up"" at a Chilton, and Max Medina gives her the first bad grade she has ever received; Rory yells at Paris and Tristin."
1.5,Cinnamon's Wake,"Lorelai is struck by two deaths; Lorelai decides to finally confront Max with her feelings for him, and he tackles his feelings as well."
1.6,Rory's Birthday Parties,It's Rory's birthday. She gets two parties. An elegant and horrible affair thrown by her grandmother and an informal fun party thrown by Lorelai.
1.7,Kiss and Tell,"Rory gets her first kiss from Dean. The whole town is buzzing about it, yet Rory has not told Lorelai."
1.8,Love and War and Snow,"It's snowing, and Lorelai is giddy. She runs into Max in Stars Hollow, and invites him back to her place. But they run into someone unexpected when they get there. Lane feels left-out of Rory's life."
1.9,Rory's Dance,"Rory asks Dean to accompany her to a formal dance at Chilton, but the lovely evening is spoiled when they fall asleep together after the dance, leading to a fight between Rory's grandmother and her mom over who has been a worse mother."
1.1,Forgiveness and Stuff,"Richard Gilmore is rushed to hospital after collapsing at the Christmas party. Luke goes with Lorelai to the hospital, where Emily and Rory already are."
1.11,Paris is Burning,"As the relationship with Rory's teacher Max grows more serious, Lorelai panics and decides to end it, but her attempt to break up with him during Parent-Teacher night at Chilton causes even more trouble at school for Rory."
1.12,Double Date,"Two double dates. Rory and Dean set up Lane with Dean's friend and the four go out. Meanwhile Sookie and Jackson's first date includes Lorelai and Jackson's cousin, who's very very weird. Lorelai does not enjoy the evening."
1.13,Concert Interruptus,"Lorelai gives Rory, Paris, Madeline and Louise tickets to a Bangles concert, but the evening doesn't go quite as planned."
1.14,That Damn Donna Reed,"Rory and Dean fight, because Dean likes the idea of a 50s type house wife. Rory ends up pretending to be such that type of woman for an evening."
1.15,Christopher Returns,"Christopher visits the Hollow for the first time and Rory shows him off and shows him the town. Dinner with the parents ends up with both Rory's grand parents fighting. After talking up his business venture, Lorelai gets Christopher to admit he's failing and has him proposing before leaving town."
1.16,Star-Crossed Lovers and Other Strangers,"It's Rory and Dean's 3-months anniversary, and he plans a special surprise, but it doesn't quite go as he planned. Luke's old girlfriend, Rachel, turns up."
1.17,"The Breakup, Part 2","Rebounding from a fight with Dean, Rory ends up kissing Tristin at a party, while Lorelai follows her own impulse to show up at Max's house for a night of passion."
1.18,The Third Lorelai,Lorelai's paternal grandmother arrives from England and stresses Emily out in a big way.
1.19,Emily in Wonderland,Rory takes her grandmother around Stars Hollow for a day. She's horrified to see where Lorelai and Rory first lived.
1.2,P.S. I Lo…,"Lorelai and Max start dating again. After a fight with Lorelai, Rory spends the night at her grandparent's house. Lorelai confronts Dean about the break-up."
1.21,"Love, Daisies, and Troubadours","In one of the highest rated shows, Lorelai is becoming seriously involved with Max just as she finds herself getting in the middle of another relationship when Luke's girlfriend Rachel accuses him of being in love with Lorelai. Meanwhile, Rory has her own romance drama and tries to work up the courage to win Dean back."
2.1,"Sadie, Sadie","Lorelai accepts Max's proposal, but when Emily hears about the upcoming wedding from Sookie, she is hurt and angry that Lorelai didn't bother to tell her. Meanwhile, Rory brings Dean to dinner at her grandparents' house and Richard's obvious disapproval of Dean leads to the first fight between Rory and her grandfather."
2.2,Hammers and Veils,"Lorelai avoids telling her parents about her engagement to Max, while Rory urges her to spill. But due to a call from Sookie asking them to come to a surprise wedding shower for the happy couple, they already know, and are appalled that Lorelai didn't tell them and so they give her the cold shoulder. Meanwhile, Rory and Dean are having trouble in paradise due to the fact that Rory suddenly becomes obsessed with finding enough extracurricular activities that will set her apart from the hundreds of other Harvard applicants."
